review_id,example_id,direction,source_language,target_language,source_dataset,source_config,source_split,source_record_id,original_source_text,original_reference_text,reference_translation,candidate_translation,internal_quality_bucket,candidate_generation_method,dataset_version
MR-092,TASKA-ZHEN-023,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1045242,What happened to her? Was she sick or something?,她怎么回事 她病了还是怎么了？,What happened to her? Was she sick or something?,What happened to her? Was she sick or something,medium,minor_terminal_punctuation_omission,v1.0
MR-093,TASKA-ENZH-027,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16424356,Call the airline. I'll pack.,快给航空公司打电话 我去打包行李,快给航空公司打电话 我去打包行李,Call the airline. I'll pack.,very_low,wrong_language_source_copy,v1.0
MR-094,TASKA-ENZH-046,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4743205,I've been looking for decoration to put up on the glass so people wouldn't walk into it.,我一直想在玻璃上贴些花样 免得人们老是一头撞上,我一直想在玻璃上贴些花样 免得人们老是一头撞上,我一直想在玻璃上贴些花样 免得人们老是一头上,medium,minor_single_character_omission,v1.0
MR-095,TASKA-ENZH-001,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14702640,"- You wanted to see me, right?",你有事找我 是的,你有事找我 是的,"- You wanted to see me, right?",very_low,wrong_language_source_copy,v1.0
MR-096,TASKA-ENZH-088,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15888655,-What are you talking about?,说什么呢？,说什么呢？,说什么呢,medium,minor_punctuation_omission,v1.0
MR-097,TASKA-ZHEN-063,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13920656,We're all behind you!,大家都替你加油！,We're all behind you!,We're all behind you,medium,minor_terminal_punctuation_omission,v1.0
MR-098,TASKA-ZHEN-100,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19410377,"Assemblyman Lee Soon Gang, whose daughter was a school bully, stepped down from his position.",被曝光女儿涉嫌校园暴力行为的李顺钢议员 (因子女涉嫌校园暴力 李顺钢议员辞任),"Assemblyman Lee Soon Gang, whose daughter was a school bully, stepped down from his position.","Assemblyman Lee Soon Gang, whose daughter was a school bully, stepped down from his position.",high,reference_preserved_no_intentional_error,v1.0
MR-099,TASKA-ENZH-093,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5128434,We should tell all the members that they have been in contact with him.,我们得告诉所有成员 他可能和他们有关系,我们得告诉所有成员 他可能和他们有关系,我们得告诉所能和他们有关系,low,substantial_contiguous_content_omission,v1.0
MR-100,TASKA-ZHEN-031,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8552682,Don't let him go. Right to the body!,你要让他逃走右拳攻击身体！,Don't let him go. Right to the body!,Don't let him go. Right to the body!,high,reference_preserved_no_intentional_error,v1.0
MR-101,TASKA-ENZH-043,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13964482,"-I was so hungry, I was about to go crazy.",我真的差点要饿死了,我真的差点要饿死了,"-I was so hungry, I was about to go crazy.",very_low,wrong_language_source_copy,v1.0
MR-102,TASKA-ENZH-076,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13337327,"Paul, what you gonna do? Shoot me, too?",玂霉 璶ри炳,玂霉 璶ри炳,玂霉 璶ри炳,high,reference_preserved_no_intentional_error,v1.0
MR-103,TASKA-ENZH-100,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14546631,How is she better than me?,她比我好在哪里？,她比我好在哪里？,How is she better than me?,very_low,wrong_language_source_copy,v1.0
MR-104,TASKA-ENZH-070,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,963012,And so then I ran to the fo'c's'le.,然后我跑到了前甲板,然后我跑到了前甲板,然后我跑到了前甲板,high,reference_preserved_no_intentional_error,v1.0
MR-105,TASKA-ENZH-055,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,6469676,"After the transplant, you could see, but not see.",角膜移植之后 你可以看见 但不是真正看见,角膜移植之后 你可以看见 但不是真正看见,角膜移植之后 你可以看见 但不是真正看见,high,reference_preserved_no_intentional_error,v1.0
MR-106,TASKA-ZHEN-042,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16260777,Then you have to file a case on him.,那你就得对他提起诉讼,Then you have to file a case on him.,Then you have to file a case on him,medium,minor_terminal_punctuation_omission,v1.0
MR-107,TASKA-ZHEN-057,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3436525,And I hope we have a play well fitted.,此剧就此分派完成,And I hope we have a play well fitted.,And I hope we have a play well fitted,medium,minor_terminal_punctuation_omission,v1.0
MR-108,TASKA-ENZH-099,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19120981,What a nice spring.,这个温泉好棒哦,这个温泉好棒哦,这个温泉好棒哦,high,reference_preserved_no_intentional_error,v1.0
MR-109,TASKA-ENZH-057,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10797056,Andyou'relike still so beautiful.,和你一样 还是那么漂亮。,和你一样 还是那么漂亮。,和你一样 还是那么漂亮。,high,reference_preserved_no_intentional_error,v1.0
MR-110,TASKA-ZHEN-087,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,12482697,"People walk in, your job is simple. What is your job?",有人走进来 你的工作很简单 你的工作是什么？,"People walk in, your job is simple. What is your job?",People walk in your job is simple. What is your job?,medium,minor_punctuation_omission,v1.0
MR-111,TASKA-ZHEN-091,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1313391,- I knew you'd kill her! - Calm down.,- 我就知道你会杀了她！,- I knew you'd kill her! - Calm down.,- I knew,very_low,severe_translation_omission,v1.0
MR-112,TASKA-ENZH-022,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15683537,Seo Jeong-hwa left home at 2 p.m.,徐贞和在下午2点离开家里,徐贞和在下午2点离开家里,Seo Jeong-hwa left home at 2 p.m.,very_low,wrong_language_source_copy,v1.0
MR-113,TASKA-ENZH-012,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11081787,"I was in Rome... working for KGB when I was abducted with force by Americans, agents of Central Intelligence Agency.",我是在羅馬... 工作的克格勃... ......,我是在羅馬... 工作的克格勃... ......,我是在羅的克格勃... ......,low,substantial_contiguous_content_omission,v1.0
MR-114,TASKA-ZHEN-013,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13621,"- Oh, yes? You listen! Tony no love you like he make you believe.",哦，他是很有花样， 但他干嘛把钱白白给别人,"- Oh, yes? You listen! Tony no love you like he make you believe.","- Oh, yes? You listen! like he make you believe.",low,substantial_contiguous_content_omission,v1.0
MR-115,TASKA-ZHEN-053,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13509728,He's losing it. Or an idiot?,以为我白痴吗？,He's losing it. Or an idiot?,以为我白痴吗？,very_low,wrong_language_source_copy,v1.0
MR-116,TASKA-ENZH-050,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11438571,Guy tries to take advantage.,男孩要占她便宜,男孩要占她便宜,男孩她便宜,low,substantial_contiguous_content_omission,v1.0
MR-117,TASKA-ZHEN-056,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19191807,"I can't do that, you know.",我不能那样做，你知道的。,"I can't do that, you know.",I can't,very_low,severe_translation_omission,v1.0
MR-118,TASKA-ZHEN-048,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15098638,It's like having a dog on a leash.,就像牵了一只狗一样,It's like having a dog on a leash.,就像牵了一只狗一样,very_low,wrong_language_source_copy,v1.0
MR-119,TASKA-ENZH-007,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,10788647,"The eye closest to the, to the.",眼最接近，向。,眼最接近，向。,眼最接近向。,medium,minor_punctuation_omission,v1.0
MR-120,TASKA-ZHEN-035,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17584822,"Allison, I told you.",艾莉森，我告诉过你。,"Allison, I told you.","Allison, I you.",low,meaningful_content_word_omission,v1.0
MR-121,TASKA-ZHEN-079,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3001803,In the back of my mind was our eventual destination.,我们最终的目的地早被我抛到了脑后,In the back of my mind was our eventual destination.,In the back was our eventual destination.,low,substantial_contiguous_content_omission,v1.0
MR-122,TASKA-ENZH-058,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11147359,I really don't want to mess that one up.,我可不希望把那个搞砸,我可不希望把那个搞砸,我可不希望把那个搞砸,high,reference_preserved_no_intentional_error,v1.0
MR-123,TASKA-ENZH-092,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17639419,"Hands can parade around naked all day, but God forbid you show a few toes?",手就可以整天露在外面 但是却不能露几个脚趾？,手就可以整天露在外面 但是却不能露几个脚趾？,手就可以整天露,very_low,severe_translation_omission,v1.0
MR-124,TASKA-ZHEN-021,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4524901,"By the way, put it on inside the train, okay?",我们在车上才这样穿，知道吗?,"By the way, put it on inside the train, okay?","By the way put it on inside the train, okay?",medium,minor_punctuation_omission,v1.0
MR-125,TASKA-ZHEN-086,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,7172169,"Ululu, it's your mom. Isn't that great?",大耳，太好了，找到媽媽了,"Ululu, it's your mom. Isn't that great?",Ululu it's your mom. Isn't that great?,medium,minor_punctuation_omission,v1.0
MR-126,TASKA-ZHEN-052,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1382251,I didn't want to lose it. Mommy knows that.,"我并不想失去他, 女马女马会告诉儡尔日刨",I didn't want to lose it. Mommy knows that.,I didn't want,very_low,severe_translation_omission,v1.0
MR-127,TASKA-ENZH-016,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5878425,We have to stand still.,我们要保持不动,我们要保持不动,我们持不动,low,substantial_contiguous_content_omission,v1.0
MR-128,TASKA-ZHEN-085,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3419240,"I want this job of yours, Tommy.","我也想要你这份工作,汤米.","I want this job of yours, Tommy.","I want this job of yours, Tommy.",high,reference_preserved_no_intentional_error,v1.0
MR-129,TASKA-ENZH-035,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17252216,Why did you come with us?,你为什么跟过来,你为什么跟过来,你为跟过来,low,substantial_contiguous_content_omission,v1.0
MR-130,TASKA-ZHEN-095,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19372723,Life is tough for young people these days.,你也知道最近的年轻人生活不容易,Life is tough for young people these days.,Life is tough for young people these days.,high,reference_preserved_no_intentional_error,v1.0
MR-131,TASKA-ENZH-015,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19115134,"Yeah, that is true.",对 我喜欢晚上游泳,对 我喜欢晚上游泳,对 我喜欢晚上泳,medium,minor_single_character_omission,v1.0
MR-132,TASKA-ZHEN-094,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3779798,ME AND A FEW OF THE GUYS FROM MY UNIT HAD TO STOP OVER THERE ON THE WAY BACK FROM KOREA.,从朝鲜回国的途中在那里停留了几天,ME AND A FEW OF THE GUYS FROM MY UNIT HAD TO STOP OVER THERE ON THE WAY BACK FROM KOREA.,ME AND A FEW OF THE GUYS,very_low,severe_translation_omission,v1.0
MR-133,TASKA-ZHEN-022,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4658699,Look at the men's faces. You can save hundreds of them.,看看那些人的脸孔你可以拯救好几百个像他们一样的人,Look at the men's faces. You can save hundreds of them.,Look at the men's,very_low,severe_translation_omission,v1.0
MR-134,TASKA-ZHEN-077,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17922215,"What do you mean, go and play?",玩什么玩？,"What do you mean, go and play?",What do,very_low,severe_translation_omission,v1.0
MR-135,TASKA-ENZH-047,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14194826,I demand that you delete the video.,我现在要求你把视频删掉,我现在要求你把视频删掉,我现在要求你把视频删掉,high,reference_preserved_no_intentional_error,v1.0
MR-136,TASKA-ZHEN-012,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1466074,"That's good, because what I really can't stand is those moralizing feuilletons of yours.",288)}那些長篇衛道說教的大文章,"That's good, because what I really can't stand is those moralizing feuilletons of yours.","That's good, because what I those moralizing feuilletons of yours.",low,substantial_contiguous_content_omission,v1.0
MR-137,TASKA-ENZH-014,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17754131,You're both under arrest.,你们俩都被捕了,你们俩都被捕了,你们俩都被捕,medium,minor_function_character_omission,v1.0
MR-138,TASKA-ENZH-032,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,12954653,"But if what you said is true about what's up there,",但如果你所说的都是真的,但如果你所说的都是真的,但如果你所说的都是真的,high,reference_preserved_no_intentional_error,v1.0
MR-139,TASKA-ZHEN-016,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5524305,I saw Mark. - Really? How is he?,-我见到马克了，,I saw Mark. - Really? How is he?,I saw Mark. - Really? How is he,medium,minor_terminal_punctuation_omission,v1.0
MR-140,TASKA-ZHEN-084,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,18521786,"You shall be mine, little brother.",成为我的东西吧 弟弟啊,"You shall be mine, little brother.","You shall be mine, little brother.",high,reference_preserved_no_intentional_error,v1.0
MR-141,TASKA-ENZH-091,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4690271,"Katie, I gave you a job to do.",凯蒂，我给你 工作要做。,凯蒂，我给你 工作要做。,"Katie, I gave you a job to do.",very_low,wrong_language_source_copy,v1.0
MR-142,TASKA-ZHEN-004,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5940891,This is ground zero. This is my site. We talked about this.,这是爆发点，这是我的区域...,This is ground zero. This is my site. We talked about this.,This is ground zero,very_low,severe_translation_omission,v1.0
MR-143,TASKA-ENZH-097,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,7093979,I'm not some distant aunt coming on a visit.,我不是来拜访的远房阿姨 你知道,我不是来拜访的远房阿姨 你知道,我不是来拜访远房阿姨 你知道,medium,minor_function_character_omission,v1.0
MR-144,TASKA-ENZH-084,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5742460,You don't know which is lying.,但你不知道谁在撒谎,但你不知道谁在撒谎,但你不知道谁在谎,medium,minor_single_character_omission,v1.0
MR-145,TASKA-ZHEN-072,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8126768,(Speaker) In the four days of the Cuban Missile Crisis wereindividualarticles up to ten times longer and sold.,在古巴危机的四天里 部分商品的销量增长了十倍多,(Speaker) In the four days of the Cuban Missile Crisis wereindividualarticles up to ten times longer and sold.,(Speaker) In the four days of up to ten times longer and sold.,low,substantial_contiguous_content_omission,v1.0
MR-146,TASKA-ZHEN-046,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1338649,"Let's understand each other, Father.",我们相互理解一下吧，神父,"Let's understand each other, Father.",Let's understand,very_low,severe_translation_omission,v1.0
MR-147,TASKA-ENZH-030,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,9793248,"♪ I think I remember those eyes, eyes, eyes ♪",我想我记得 那双眼睛，眼睛，眼睛,我想我记得 那双眼睛，眼睛，眼睛,我想我记睛，眼睛，眼睛,low,substantial_contiguous_content_omission,v1.0
MR-148,TASKA-ENZH-067,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4685216,Half-assed measures aren't gonna get us anywhere.,用温和手段没办法解决问题,用温和手段没办法解决问题,用温和手段没办法解决题,medium,minor_single_character_omission,v1.0
MR-149,TASKA-ENZH-036,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19472623,"And also, my partner left because he is... he's not the father.",而且我的伴侣离开了 因为他不是宝宝的父亲,而且我的伴侣离开了 因为他不是宝宝的父亲,而且我伴侣离开了 因为他不是宝宝的父亲,medium,minor_function_character_omission,v1.0
MR-150,TASKA-ZHEN-061,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13635762,You've been a pussy your whole life.,你这一辈子都是个怂货 这很适合你,You've been a pussy your whole life.,You've been,very_low,severe_translation_omission,v1.0
MR-151,TASKA-ZHEN-002,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4549608,Don't start cooking yet... saw it with my own eyes...,别煮了... 我今次亲眼见到 ， 不会有失的 阿艾 ， 阿简在哪儿 ？,Don't start cooking yet... saw it with my own eyes...,别煮了... 我今次亲眼见到 ， 不会有失的 阿艾 ， 阿简在哪儿 ？,very_low,wrong_language_source_copy,v1.0
MR-152,TASKA-ZHEN-039,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11723088,"Your Majesty, don't move.","陛下,别动","Your Majesty, don't move.","Your Majesty, don't move.",high,reference_preserved_no_intentional_error,v1.0
MR-153,TASKA-ZHEN-030,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8632376,Let's go to the other side of the ice.,我們繞到另一邊,Let's go to the other side of the ice.,Let's go to the other side of the ice,medium,minor_terminal_punctuation_omission,v1.0
MR-154,TASKA-ZHEN-060,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17207267,You usually hide and eat it in secret.,你不是平时偷偷吃的吗,You usually hide and eat it in secret.,You usually hide it in secret.,low,substantial_contiguous_content_omission,v1.0
MR-155,TASKA-ZHEN-020,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,881203,The conductor: What did he think of you?,检票员怎么想你的?,The conductor: What did he think of you?,The conductor: What did he think of you,medium,minor_terminal_punctuation_omission,v1.0
MR-156,TASKA-ENZH-044,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,13814801,"Honey, there was one time that daddy's team was losing and I was on the bench.",宝贝 曾经有一次 爸爸那队输了 而我当时在坐板凳,宝贝 曾经有一次 爸爸那队输了 而我当时在坐板凳,宝贝 曾经有一次 爸爸那队输 而我当时在坐板凳,medium,minor_function_character_omission,v1.0
MR-157,TASKA-ENZH-077,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1801753,"Boss, have you fixed everything?",老板，那些东西搞掂了没有？,老板，那些东西搞掂了没有？,老板，那些东西搞掂了没有？,high,reference_preserved_no_intentional_error,v1.0
MR-158,TASKA-ZHEN-008,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,15870449,I'm in no position to do that.,我的立场怎么争取啊？,I'm in no position to do that.,I'm in no position to do that.,high,reference_preserved_no_intentional_error,v1.0
MR-159,TASKA-ENZH-063,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1350730,"With some work I can dig that grille out of there, enlarge the hole and get into the utility corridor, that might lead to the roof.",如果我继续撬 把那铁栅撬起，扩大那个洞 就能通往一条通道，进入天台,如果我继续撬 把那铁栅撬起，扩大那个洞 就能通往一条通道，进入天台,如果我继续撬 把那铁栅,very_low,severe_translation_omission,v1.0
MR-160,TASKA-ZHEN-089,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4098999,This can't be it.,不会就这样吧？,This can't be it.,不会就这样吧？,very_low,wrong_language_source_copy,v1.0
MR-161,TASKA-ZHEN-069,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16461656,"This is very kind of you, Sir Henry.",亨利爵士，你真是太慷慨了,"This is very kind of you, Sir Henry.",亨利爵士，你真是太慷慨了,very_low,wrong_language_source_copy,v1.0
MR-162,TASKA-ENZH-096,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11810654,I tol them last night.,昨晚我就告诉他们了,昨晚我就告诉他们了,昨晚我就告诉他们了,high,reference_preserved_no_intentional_error,v1.0
MR-163,TASKA-ENZH-029,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,9361901,"My mother says she found my father the evening of the 9th... and called the doctor, who established his death.",我母亲说 她在9号晚上发现我父亲 然后叫了医生 医生确定他死亡了,我母亲说 她在9号晚上发现我父亲 然后叫了医生 医生确定他死亡了,我母亲说 她在9号晚上发,very_low,severe_translation_omission,v1.0
MR-164,TASKA-ZHEN-051,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,108894,"You see, Nepeya, just why I have to bring about this alliance.",这是我要缔结这个同盟的原因,"You see, Nepeya, just why I have to bring about this alliance.","You see, Nepeya, just bring about this alliance.",low,substantial_contiguous_content_omission,v1.0
MR-165,TASKA-ENZH-066,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,4626058,"Hey, they're giving away free money!","嘿,他们在发钱!","嘿,他们在发钱!","嘿,他",very_low,severe_translation_omission,v1.0
MR-166,TASKA-ZHEN-074,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16977226,It just looks smaller 'cause of me stuff.,-看起来更小是因为堆了我的东西,It just looks smaller 'cause of me stuff.,It just looks smaller 'cause of me stuff.,high,reference_preserved_no_intentional_error,v1.0
MR-167,TASKA-ENZH-033,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14193775,But I had no idea things would turn out like this!,但我也没有想到 会变成今天这个样子,但我也没有想到 会变成今天这个样子,But I had no idea things would turn out like this!,very_low,wrong_language_source_copy,v1.0
MR-168,TASKA-ZHEN-014,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17848730,And you came up with blackmail?,然后你们想出了勒索的主意？,And you came up with blackmail?,And you with blackmail?,low,substantial_contiguous_content_omission,v1.0
MR-169,TASKA-ZHEN-049,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,14231375,You joined a club?,你加入了社团吗？,You joined a club?,You joined club?,low,meaningful_content_word_omission,v1.0
MR-170,TASKA-ZHEN-067,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3472946,What are you doin' home?,你在家做什么？,What are you doin' home?,What are you doin' home,medium,minor_terminal_punctuation_omission,v1.0
MR-171,TASKA-ZHEN-068,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,257935,"Feel it, but don't try it.",想就好 但别试,"Feel it, but don't try it.",Feel it but don't try it.,medium,minor_punctuation_omission,v1.0
MR-172,TASKA-ENZH-078,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,17705794,I don't think you're gonna do it.,我觉得你不会打的,我觉得你不会打的,I don't think you're gonna do it.,very_low,wrong_language_source_copy,v1.0
MR-173,TASKA-ZHEN-010,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19320532,Can everyone else see the British woman?,你们其他人能看见这个英国女人吗？,Can everyone else see the British woman?,Can everyone else see the British woman?,high,reference_preserved_no_intentional_error,v1.0
MR-174,TASKA-ENZH-005,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,5062057,"- lt might be the fire, Burt.",- 是来灭火吧 伯特,- 是来灭火吧 伯特,"- lt might be the fire, Burt.",very_low,wrong_language_source_copy,v1.0
MR-175,TASKA-ZHEN-055,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,16874748,Thank you so much for that encouraging pep talk.,非常感谢你令人振奋的动员谈话,Thank you so much for that encouraging pep talk.,Thank you so much for that encouraging pep talk,medium,minor_terminal_punctuation_omission,v1.0
MR-176,TASKA-ENZH-048,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,7336273,It takes years. Years. Hello.,要花很多年的,要花很多年的,要花很多年,medium,minor_function_character_omission,v1.0
MR-177,TASKA-ENZH-026,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11099514,Where did you get the grass?,什么是大麻。,什么是大麻。,什么,very_low,severe_translation_omission,v1.0
MR-178,TASKA-ZHEN-075,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,11809221,We're oing a run toay?,我们今天要去找补给吗,We're oing a run toay?,We're run toay?,low,substantial_contiguous_content_omission,v1.0
MR-179,TASKA-ENZH-034,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,19478961,"I commanded my battle lord to deliver the helmet... to our swiftest rider, Ven Salafin.",我命令我的领主把头盔交给我们最快的骑士，文·萨拉芬。,我命令我的领主把头盔交给我们最快的骑士，文·萨拉芬。,我命令我的领主把快的骑士，文·萨拉芬。,low,substantial_contiguous_content_omission,v1.0
MR-180,TASKA-ZHEN-078,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,3806703,I could use the expertise of someone like yourself to help solve this case.,我需要象你这样的专家来帮助破案.,I could use the expertise of someone like yourself to help solve this case.,I could use the expertise of someone like yourself to help solve this case,medium,minor_terminal_punctuation_omission,v1.0
MR-181,TASKA-ENZH-009,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,8080906,"No, sir. It happened so fast.",没有，警官，一切都发生的太快了,没有，警官，一切都发生的太快了,没有，警官，生的太快了,low,substantial_contiguous_content_omission,v1.0
MR-182,TASKA-ZHEN-027,zh-en,Mandarin Chinese,English,FradSer/OpenSubtitles-en-zh-cn-20m,,train,1604037,"- No, that wasn't it!",不对，不是这样的,"- No, that wasn't it!",不对，不是这样的,very_low,wrong_language_source_copy,v1.0
MR-183,TASKA-ENZH-082,en-zh,English,Mandarin Chinese,FradSer/OpenSubtitles-en-zh-cn-20m,,train,18539665,"Orobas's family power, Trauma.","欧罗巴斯家 家系能力""幻灯(心理阴影)""","欧罗巴斯家 家系能力""幻灯(心理阴影)""","欧罗巴斯家 ""幻灯(心理阴影)""",low,substantial_contiguous_content_omission,v1.0
